id,device_address,register_address,data,
1,36,0105,04,
2,36,0104,00,
3,36,3d85,0B,
4,36,3430,00,
5,36,3420,00,
6,36,0301,1a,
7,36,0304,01,
8,36,0305,e0,
9,36,0306,04,
10,36,0307,01,
11,36,0360,80,
12,36,040b,5c,
13,36,040c,cd,
14,36,3000,00,
15,36,3001,00,
16,36,3002,10,
17,36,3009,06,
18,36,3010,41,
19,36,301f,e9,
20,36,3182,10,
21,36,3215,cc,
22,36,3218,06,
23,36,3400,0c,
24,36,3401,01,
25,36,3500,00,
26,36,3501,00,
27,36,3502,2a,
28,36,3506,01,
29,36,3507,10,
30,36,3508,01,
31,36,3509,00,
32,36,350a,01,
33,36,350b,00,
34,36,350c,00,
35,36,351e,00,
36,36,351f,00,
37,36,3541,00,
38,36,3542,40,
39,36,3503,a8,
40,36,3610,00,
41,36,3674,00,
42,36,36a5,2d,
43,36,370f,80,
44,36,3710,10,
45,36,3778,00,
46,36,37e7,68,
47,36,37e8,07,
48,36,3800,00,
49,36,3801,00,
50,36,3822,10,
51,36,3802,00,
52,36,3803,00,
53,36,3804,07,
54,36,3805,8f,
55,36,3806,05,
56,36,3807,0f,
57,36,3808,07,
58,36,3809,80,
59,36,380a,05,
60,36,380b,00,
61,36,380c,01,
62,36,380d,20,
63,36,380e,05,
64,36,380f,62,
65,36,3810,00,
66,36,3811,08,
67,36,3812,00,
68,36,3813,08,
69,36,3814,11,
70,36,3815,11,
71,36,3820,40,
72,36,3821,00,
73,36,3823,00,
74,36,3826,00,
75,36,3827,00,
76,36,382c,09,
77,36,382d,8c,
78,36,382e,01,
79,36,3838,00,
80,36,3840,40,
81,36,384a,a2,
82,36,3858,00,
83,36,3859,00,
84,36,3860,00,
85,36,3861,00,
86,36,3866,10,
87,36,3867,07,
88,36,3868,01,
89,36,3869,01,
90,36,386a,01,
91,36,386b,01,
92,36,386d,08,
93,36,386e,74,
94,36,3871,01,
95,36,3872,01,
96,36,3873,01,
97,36,3874,01,
98,36,3908,00,
99,36,3909,14,
100,36,390a,00,
101,36,390b,11,
102,36,390c,15,
103,36,390d,84,
104,36,390f,88,
105,36,3a7f,00,
106,36,3a80,01,
107,36,3a84,00,
108,36,3a85,08,
109,36,3ab2,00,
110,36,3ab3,08,
111,36,3a93,40,
112,36,3a98,00,
113,36,3b1e,00,
114,36,3b20,a5,
115,36,3b21,00,
116,36,3b22,00,
117,36,3b23,00,
118,36,3b24,05,
119,36,3b25,00,
120,36,3b26,00,
121,36,3b27,00,
122,36,3b28,1a,
123,36,3b2f,40,
124,36,3b9d,61,
125,36,3b56,00,
126,36,40f9,00,
127,36,4001,2b,
128,36,400a,02,
129,36,400b,00,
130,36,4032,3e,
131,36,4300,00,
132,36,4308,00,
133,36,430a,90,
134,36,430b,11,
135,36,4310,00,
136,36,4313,00,
137,36,4315,00,
138,36,4316,14,
139,36,431e,00,
140,36,4342,00,
141,36,4410,09,
142,36,4503,00,
143,36,4508,80,
144,36,4509,10,
145,36,450b,83,
146,36,4514,00,
147,36,458c,00,
148,36,4681,04,
149,36,4682,10,
150,36,4683,a0,
151,36,4698,07,
152,36,4699,f0,
153,36,4837,10,
154,36,4860,00,
155,36,4883,02,
156,36,4885,8f,
157,36,4888,10,
158,36,488c,10,
159,36,4980,03,
160,36,4984,00,
161,36,4f01,ff,
162,36,4f05,13,
163,36,5000,34,
164,36,5001,80,
165,36,500a,00,
166,36,5080,00,
167,36,5081,00,
168,36,5082,00,
169,36,5083,00,
170,36,2805,ff,
171,36,2806,0f,
172,36,4301,ff,
173,36,4302,f0,
174,36,4303,00,
175,36,4304,ff,
176,36,4305,f0,
177,36,4306,00,
178,36,4434,f8,
179,36,602e,10,
180,36,602f,00,
181,36,8801,0a,
182,36,8802,2f,
183,36,8804,0b,
184,36,8807,0c,
185,36,880a,0d,
186,36,880b,4a,
187,36,880d,0e,
188,36,880e,1e,
189,36,8810,0f,
