id,device_address,register_address,data,
1,6c,0105,04,
2,6c,0104,00,
3,6c,3d85,0B,
4,6c,3430,00,
5,6c,3420,00,
6,6c,0301,1a,
7,6c,0304,01,
8,6c,0305,e0,
9,6c,0306,04,
10,6c,0307,01,
11,6c,0360,80,
12,6c,040b,5c,
13,6c,040c,cd,
14,6c,3000,00,
15,6c,3001,00,
16,6c,3002,10,
17,6c,3009,06,
18,6c,3010,41,
19,6c,301f,e9,
20,6c,3182,10,
21,6c,3215,cc,
22,6c,3218,06,
23,6c,3400,0c,
24,6c,3401,01,
25,6c,3500,00,
26,6c,3501,00,
27,6c,3502,2a,
28,6c,3506,01,
29,6c,3507,10,
30,6c,3508,01,
31,6c,3509,00,
32,6c,350a,01,
33,6c,350b,00,
34,6c,350c,00,
35,6c,351e,00,
36,6c,351f,00,
37,6c,3541,00,
38,6c,3542,40,
39,6c,3503,a8,
40,6c,3610,00,
41,6c,3674,00,
42,6c,36a5,2d,
43,6c,370f,80,
44,6c,3710,10,
45,6c,3778,00,
46,6c,37e7,68,
47,6c,37e8,07,
48,6c,3800,00,
49,6c,3801,00,
50,6c,3822,10,
51,6c,3802,00,
52,6c,3803,00,
53,6c,3804,07,
54,6c,3805,8f,
55,6c,3806,05,
56,6c,3807,0f,
57,6c,3808,07,
58,6c,3809,80,
59,6c,380a,05,
60,6c,380b,00,
61,6c,380c,01,
62,6c,380d,20,
63,6c,380e,05,
64,6c,380f,62,
65,6c,3810,00,
66,6c,3811,08,
67,6c,3812,00,
68,6c,3813,08,
69,6c,3814,11,
70,6c,3815,11,
71,6c,3820,40,
72,6c,3821,00,
73,6c,3823,00,
74,6c,3826,00,
75,6c,3827,00,
76,6c,382c,09,
77,6c,382d,8c,
78,6c,382e,01,
79,6c,3838,00,
80,6c,3840,40,
81,6c,384a,a2,
82,6c,3858,00,
83,6c,3859,00,
84,6c,3860,00,
85,6c,3861,00,
86,6c,3866,10,
87,6c,3867,07,
88,6c,3868,01,
89,6c,3869,01,
90,6c,386a,01,
91,6c,386b,01,
92,6c,386d,08,
93,6c,386e,74,
94,6c,3871,01,
95,6c,3872,01,
96,6c,3873,01,
97,6c,3874,01,
98,6c,3908,00,
99,6c,3909,14,
100,6c,390a,00,
101,6c,390b,11,
102,6c,390c,15,
103,6c,390d,84,
104,6c,390f,88,
105,6c,3a7f,00,
106,6c,3a80,01,
107,6c,3a84,00,
108,6c,3a85,08,
109,6c,3ab2,00,
110,6c,3ab3,08,
111,6c,3a93,40,
112,6c,3a98,00,
113,6c,3b1e,00,
114,6c,3b20,a5,
115,6c,3b21,00,
116,6c,3b22,00,
117,6c,3b23,00,
118,6c,3b24,05,
119,6c,3b25,00,
120,6c,3b26,00,
121,6c,3b27,00,
122,6c,3b28,1a,
123,6c,3b2f,40,
124,6c,3b9d,61,
125,6c,3b56,00,
126,6c,40f9,00,
127,6c,4001,2b,
128,6c,400a,02,
129,6c,400b,00,
130,6c,4032,3e,
131,6c,4300,00,
132,6c,4308,00,
133,6c,430a,90,
134,6c,430b,11,
135,6c,4310,00,
136,6c,4313,00,
137,6c,4315,00,
138,6c,4316,14,
139,6c,431e,00,
140,6c,4342,00,
141,6c,4410,09,
142,6c,4503,00,
143,6c,4508,80,
144,6c,4509,10,
145,6c,450b,83,
146,6c,4514,00,
147,6c,458c,00,
148,6c,4681,04,
149,6c,4682,10,
150,6c,4683,a0,
151,6c,4698,07,
152,6c,4699,f0,
153,6c,4837,10,
154,6c,4860,00,
155,6c,4883,02,
156,6c,4885,8f,
157,6c,4888,10,
158,6c,488c,10,
159,6c,4980,03,
160,6c,4984,00,
161,6c,4f01,ff,
162,6c,4f05,13,
163,6c,5000,34,
164,6c,5001,80,
165,6c,500a,00,
166,6c,5080,00,
167,6c,5081,00,
168,6c,5082,00,
169,6c,5083,00,
170,6c,2805,ff,
171,6c,2806,0f,
172,6c,4301,ff,
173,6c,4302,f0,
174,6c,4303,00,
175,6c,4304,ff,
176,6c,4305,f0,
177,6c,4306,00,
178,6c,4434,f8,
179,6c,602e,10,
180,6c,602f,00,
181,6c,8801,0a,
182,6c,8802,2f,
183,6c,8804,0b,
184,6c,8807,0c,
185,6c,880a,0d,
186,6c,880b,4a,
187,6c,880d,0e,
188,6c,880e,1e,
189,6c,8810,0f,
190,6c,8828,1f,
191,6c,8829,30,
192,6c,882c,29,
193,6c,882f,86,
194,6c,8832,16,
195,6c,8835,16,
196,6c,8838,2f,
197,6c,883b,83,
198,6c,883e,8c,
199,6c,8840,3b,
200,6c,8841,16,
201,6c,8843,3c,
202,6c,8844,70,
203,6c,8845,00,
204,6c,8846,3d,
205,6c,8847,dd,
206,6c,8849,3e,
207,6c,884a,03,
208,6c,884c,3f,
209,6c,884d,68,
210,6c,8850,03,
211,6c,8853,68,
212,6c,8856,0e,
213,6c,8859,0e,
214,6c,885c,0e,
215,6c,885f,0e,
216,6c,8862,0e,
217,6c,8865,07,
218,6c,8868,07,
219,6c,886b,07,
220,6c,886d,4a,
221,6c,886e,07,
222,6c,886f,00,
223,6c,8870,d7,
224,6c,8871,b8,
225,6c,8873,d8,
226,6c,8876,d9,
227,6c,8879,da,
228,6c,887c,db,
229,6c,887f,dc,
230,6c,8882,dd,
231,6c,8885,e0,
232,6c,8886,e7,
233,6c,8888,e2,
234,6c,888b,e3,
235,6c,888e,e4,
236,6c,8891,e5,
237,6c,89d3,00,
238,6c,89d6,00,
239,6c,89db,00,
240,6c,89df,02,
241,6c,89e2,00,
242,6c,89e4,00,
243,6c,89e6,00,
244,6c,89f0,19,
245,6c,8a04,19,
246,6c,8a08,19,
247,6c,8a0a,19,
248,6c,8a0c,19,
249,6c,8a0e,19,
250,6c,89f8,1a,
251,6c,8960,19,
252,6c,8964,19,
253,6c,895a,21,
254,6c,895b,e6,
255,6c,8952,3d,
256,6c,8953,19,
257,6c,8954,b3,
258,6c,8955,40,
259,6c,8956,e6,
260,6c,8957,da,
261,6c,89e2,00,
262,6c,89e3,00,
263,6c,89e4,3b,
264,6c,89e5,40,
265,6c,89e6,47,
266,6c,89e7,da,
267,6c,89e8,00,
268,6c,89e9,00,
269,6c,89d2,00,
270,6c,89d7,00,
271,6c,89da,00,
272,6c,8001,0c,
273,6c,8002,08,
274,6c,8004,16,
275,6c,8005,08,
276,6c,8007,20,
277,6c,8008,01,
278,6c,800a,29,
279,6c,800b,01,
280,6c,800d,34,
281,6c,8010,35,
282,6c,8011,01,
283,6c,8013,37,
284,6c,8014,01,
285,6c,8016,3a,
286,6c,8017,01,
287,6c,8019,3f,
288,6c,801a,01,
289,6c,801c,48,
290,6c,801d,1d,
291,6c,801f,4b,
292,6c,8020,01,
293,6c,8022,4f,
294,6c,8025,58,
295,6c,8026,01,
296,6c,8028,5f,
297,6c,8029,0f,
298,6c,802b,6e,
299,6c,802c,01,
300,6c,802e,73,
301,6c,802f,01,
302,6c,8031,7a,
303,6c,8032,3f,
304,6c,8034,7d,
305,6c,8037,7e,
306,6c,8038,0a,
307,6c,8062,4d,
308,6c,8063,50,
309,6c,8066,88,
310,6c,8067,16,
311,6c,8068,88,
312,6c,8069,16,
313,6c,806a,88,
314,6c,806b,35,
315,6c,806c,88,
316,6c,806f,5f,
317,6c,8071,7d,
318,6c,8073,29,
319,6c,8075,29,
320,6c,8077,20,
321,6c,8078,34,
322,6c,8079,88,
323,6c,807c,32,
324,6c,807d,88,
325,6c,807e,32,
326,6c,807f,00,
327,6c,8081,31,
328,6c,8082,00,
329,6c,8083,31,
330,6c,8084,31,
331,6c,8087,31,
332,6c,8088,34,
333,6c,8089,39,
334,6c,808a,4b,
335,6c,808c,88,
336,6c,808e,88,
337,6c,8090,88,
338,6c,8092,88,
339,6c,8094,88,
340,6c,8098,46,
341,6c,8099,49,
342,6c,809a,7a,
343,6c,809b,7b,
344,6c,809d,4b,
345,6c,809e,51,
346,6c,809f,7c,
347,6c,80a0,4b,
348,6c,80a1,7c,
349,6c,80a7,88,
350,6c,80a9,88,
351,6c,80ac,05,
352,6c,80ad,88,
353,6c,80b8,4a,
354,6c,80b9,88,
355,6c,80bc,4a,
356,6c,80bd,88,
357,6c,80c6,88,
358,6c,80c8,88,
359,6c,80ca,88,
360,6c,80ce,46,
361,6c,80cf,49,
362,6c,80d0,7a,
363,6c,80d1,7b,
364,6c,80d2,46,
365,6c,80d3,49,
366,6c,80d4,7a,
367,6c,80d5,7b,
368,6c,80d6,32,
369,6c,80d7,7c,
370,6c,80d8,88,
371,6c,80d9,20,
372,6c,80da,3a,
373,6c,80db,3f,
374,6c,80dc,6e,
375,6c,80dd,73,
376,6c,80e0,4f,
377,6c,80e1,50,
378,6c,80e2,84,
379,6c,80e3,86,
380,6c,80e6,4f,
381,6c,80e7,50,
382,6c,80e8,84,
383,6c,80e9,86,
384,6c,80ec,51,
385,6c,80ed,52,
386,6c,80ee,88,
387,6c,80ef,89,
388,6c,80f2,37,
389,6c,80f3,38,
390,6c,8100,7e,
391,6c,8101,88,
392,6c,8104,88,
393,6c,8105,4d,
394,6c,8108,4a,
395,6c,8109,88,
396,6c,810d,88,
397,6c,810f,88,
398,6c,8122,89,
399,6c,8123,8a,
400,6c,808b,7a,
401,6c,80c0,01,
402,6c,80c1,20,
403,6c,8089,46,
404,6c,801d,1d,
405,6c,8032,44,
406,6c,6000,40,
407,6c,6001,40,
408,6c,6002,00,
409,6c,6003,00,
410,6c,6004,00,
411,6c,6005,00,
412,6c,6006,00,
413,6c,6007,00,
414,6c,6008,00,
415,6c,6009,00,
416,6c,301b,b4,
417,6c,3712,c2,
418,6c,3a04,01,
419,6c,386c,46,
420,6c,3900,10,
421,6c,3900,13,
422,6c,3255,00,
423,6c,3631,80,
424,6c,363d,11,
425,6c,363e,21,
426,6c,395e,c0,
427,6c,5000,3e,
428,6c,5103,02,
429,6c,5140,04,
430,6c,5141,00,
431,6c,5146,04,
432,6c,5147,00,
433,6c,5180,01,
434,6c,5181,1c,
435,6c,5185,01,
436,6c,5188,08,
437,6c,5240,7f,
438,6c,5241,00,
439,6c,5243,06,
440,6c,5244,08,
441,6c,5245,08,
442,6c,5246,06,
443,6c,5247,04,
444,6c,5248,08,
445,6c,5249,06,
446,6c,524a,04,
447,6c,524b,08,
448,6c,524c,06,
449,6c,524d,04,
450,6c,524e,08,
451,6c,524f,06,
452,6c,5250,04,
453,6c,5251,08,
454,6c,5252,06,
455,6c,5253,04,
456,6c,5254,08,
457,6c,5255,06,
458,6c,5256,04,
459,6c,5257,44,
460,6c,5258,44,
461,6c,5259,44,
462,6c,525a,00,
463,6c,525b,12,
464,6c,525c,06,
465,6c,525d,06,
466,6c,525e,06,
467,6c,525f,06,
468,6c,5260,06,
469,6c,5261,06,
470,6c,5262,04,
471,6c,5263,06,
472,6c,5264,06,
473,6c,5265,14,
474,6c,5269,08,
475,6c,526a,08,
476,6c,4008,04,
477,6c,4009,1b,
478,6c,4050,02,
479,6c,4051,0d,
480,6c,4d06,c8,
481,6c,396e,80,
482,6c,3727,46,
483,6c,3728,46,
484,6c,3729,46,
485,6c,3631,e0,
486,6c,3642,b8,
487,6c,372e,15,
488,6c,3730,15,
489,6c,3732,15,
490,6c,372d,15,
491,6c,372f,15,
492,6c,3731,15,
493,6c,371e,08,
494,6c,3401,00,
495,6c,3622,4e,
496,6c,3cfe,01,
497,6c,3642,a8,
498,6c,4000,f9,
499,6c,0326,17,
500,6c,0324,00,
501,6c,0325,c0,
502,6c,367b,50,
503,6c,3608,68,
504,6c,3604,30,
505,6c,3603,67,
506,6c,3b9d,61,
507,6c,3652,10,
508,6c,3654,10,
509,6c,3651,ac,
510,6c,3af0,04,
511,6c,3655,68,
512,6c,3739,06,
513,6c,4e18,22,
514,6c,4e19,0e,
515,6c,4e1a,0e,
516,6c,4e1b,f3,
517,6c,4e1c,f3,
518,6c,0441,04,
519,6c,3726,22,
520,6c,3727,22,
521,6c,3728,22,
522,6c,3729,22,
523,6c,372a,22,
524,6c,3972,22,
525,6c,3971,00,
526,6c,3970,00,
527,6c,396f,22,
528,6c,396e,00,
529,6c,396d,00,
530,6c,400a,07,
531,6c,381d,01,
532,6c,3748,18,
533,6c,3979,00,
534,6c,397a,00,
535,6c,397b,00,
536,6c,397c,00,
537,6c,397d,00,
538,6c,397e,00,
539,6c,397f,00,
540,6c,3980,00,
541,6c,3981,00,
542,6c,3982,00,
543,6c,3983,00,
544,6c,3984,00,
545,6c,3985,00,
546,6c,3986,00,
547,6c,3987,00,
548,6c,3988,00,
549,6c,37e5,47,
550,6c,372b,1f,
551,6c,372c,0a,
552,6c,372d,0a,
553,6c,372e,0a,
554,6c,372f,0a,
555,6c,3730,0a,
556,6c,3731,0a,
557,6c,3732,0a,
558,6c,3733,05,
559,6c,3734,05,
560,6c,3735,05,
561,6c,3736,05,
562,6c,3737,05,
563,6c,3738,05,
564,6c,3739,05,
565,6c,373a,1f,
566,6c,373b,1f,
567,6c,3638,ac,
568,6c,3642,a8,
569,6c,3643,a8,
570,6c,371e,08,
571,6c,371f,18,
572,6c,3720,18,
573,6c,3721,18,
574,6c,3722,18,
575,6c,3638,bb,
576,6c,3636,98,
577,6c,3963,07,
578,6c,396a,06,
579,6c,396b,44,
580,6c,396e,00,
581,6c,396f,02,
582,6c,3970,00,
583,6c,3971,00,
584,6c,3972,11,
585,6c,400a,03,
586,6c,400b,00,
587,6c,3735,03,
588,6c,3736,03,
589,6c,3737,00,
590,6c,3738,00,
591,6c,8100,4b,
592,6c,8101,51,
593,6c,4501,04,
594,6c,37e5,67,
595,6c,3603,77,
596,6c,2805,ee,
597,6c,3640,50,
598,6c,3726,11,
599,6c,3727,11,
600,6c,3728,11,
601,6c,3729,11,
602,6c,372a,11,
