scan,side,cam,neg_ts_rows_scanwide,frozen_temp,stale_start_frames,stale_start_s,temp_glitches,midscan_gaps,midscan_missing_frames,teardown_gaps,dupe_dt,temp_steps_gt1C_body,max_temp_step_body_C,smoothed_mean_steps_gt2,max_smoothed_mean_step
1,left,0,0,False,8,0.1999999999970896,0,0,0,1,0,0,1.0,0,0.1571480000000065
1,left,1,0,False,12,0.2999999999992724,0,0,0,1,0,0,0.91015625,0,0.04422900000002983
1,left,2,0,False,16,0.3999999999978172,0,0,0,1,0,0,1.0,0,0.006797999999974991
1,left,3,0,False,4,0.0999999999985448,0,0,0,1,0,0,0.90625,0,0.003927999999973508
1,right,0,0,False,12,0.3000000000029104,0,0,0,1,0,0,1.0,0,0.0271940000000086
1,right,1,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.984375,0,0.06639599999999746
1,right,2,0,False,4,0.1000000000021827,0,0,0,1,0,2,1.53125,0,0.00825100000000134
1,right,3,0,False,8,0.2000000000007276,0,0,0,1,0,0,0.90234375,0,0.004071000000010372
2,left,0,0,False,4,0.1000000000021827,0,0,0,1,0,0,0.7578125,0,0.16727800000001025
2,left,1,0,False,8,0.2000000000007276,0,0,0,1,0,0,0.921875,0,0.04771999999996979
2,left,2,0,False,12,0.2999999999992724,0,0,0,1,0,0,0.828125,0,0.006517999999999802
2,left,3,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.90234375,0,0.0041480000000149175
2,right,0,0,False,4,0.1000000000021827,0,0,0,1,0,0,0.92578125,0,0.03485000000000582
2,right,1,0,False,8,0.2000000000007276,0,0,0,1,0,1,1.2265625,0,0.06505800000002182
2,right,2,0,False,12,0.3000000000029104,0,0,0,1,0,0,0.984375,0,0.009534000000002152
2,right,3,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.92578125,0,0.003947000000010803
3,left,0,0,False,12,0.2999999999992724,0,0,0,1,0,0,1.0,0,0.14533099999994192
3,left,1,0,False,16,0.3999999999978172,0,0,0,1,0,0,0.921875,0,0.04025100000001203
3,left,2,0,False,4,0.0999999999985448,0,0,0,1,0,0,0.92578125,0,0.00698499999998603
3,left,3,0,False,8,0.2000000000007276,0,0,0,1,0,0,0.83203125,0,0.004753999999991265
3,right,0,0,False,12,0.2999999999992724,0,0,0,1,0,0,0.984375,0,0.03081000000008771
3,right,1,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.91015625,0,0.07080700000000206
3,right,2,0,False,4,0.1000000000021827,0,0,0,1,0,1,1.15234375,0,0.010505999999992355
3,right,3,0,False,8,0.2000000000007276,0,0,0,1,0,0,1.0,0,0.0045379999999966
4,left,0,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.8359375,0,0.15127299999994648
4,left,1,0,False,4,0.0999999999985448,0,0,0,1,0,0,0.8359375,0,0.036799000000030446
4,left,2,0,False,8,0.1999999999970896,0,0,0,1,0,0,0.9765625,0,0.006810999999999012
4,left,3,0,False,12,0.2999999999956344,0,0,0,1,0,0,0.98046875,0,0.004183000000011816
4,right,0,0,False,8,0.1999999999970896,0,0,0,1,0,0,1.0,0,0.02957200000003013
4,right,1,0,False,12,0.3000000000029104,0,0,0,1,0,1,1.078125,0,0.0762189999999805
4,right,2,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.90625,0,0.010141000000004396
4,right,3,0,False,4,0.0999999999985448,0,0,0,1,0,1,1.0546875,0,0.0044790000000034524
5,left,0,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.91015625,0,0.14530999999999494
5,left,1,0,False,4,0.0999999999985448,0,0,0,1,0,0,0.984375,0,0.0368129999999951
5,left,2,0,False,8,0.2000000000043655,0,0,0,1,0,1,1.0546875,0,0.006470000000007303
5,left,3,0,False,12,0.3000000000029104,0,0,0,1,0,0,0.9765625,0,0.0044469999999989795
5,right,0,0,False,8,0.1999999999970896,0,0,0,1,0,0,0.7578125,0,0.029602999999951862
5,right,1,0,False,12,0.3000000000029104,0,0,0,1,0,1,1.13671875,0,0.06404200000002902
5,right,2,0,False,16,0.4000000000014552,0,0,0,1,0,0,1.0,0,0.00814900000000307
5,right,3,0,False,4,0.0999999999985448,0,0,0,1,0,0,1.0,0,0.0041789999999934935
6,left,0,0,False,4,0.1000000000058207,0,0,0,1,0,0,1.0,0,0.1624930000000404
6,left,1,0,False,8,0.2000000000043655,0,0,0,1,0,0,0.98828125,0,0.0483600000000024
6,left,2,0,False,12,0.3000000000029104,0,0,0,1,0,0,0.90625,0,0.006915999999989708
6,left,3,0,False,16,0.4000000000014552,0,0,0,1,0,0,1.0,0,0.004477000000008502
6,right,0,0,False,16,0.4000000000014552,0,0,0,1,0,0,0.83203125,0,0.03243700000007266
6,right,1,0,False,4,0.0999999999985448,0,0,0,1,0,0,0.984375,0,0.08331400000002986
6,right,2,0,False,8,0.2000000000043655,0,0,0,1,0,1,1.05859375,0,0.008477999999996655
6,right,3,0,False,12,0.3000000000029104,0,0,0,1,0,0,1.0,0,0.005006999999977779
7,left,0,0,False,16,0.4000000000000909,0,0,0,1,0,0,0.8359375,0,0.15402900000003683
7,left,1,0,False,4,0.099999999999909,0,0,0,1,0,0,0.984375,0,0.045035000000041236
7,left,2,0,False,8,0.1999999999998181,0,0,0,1,0,1,1.0546875,0,0.006751000000008389
7,left,3,0,False,12,0.3000000000001819,0,0,0,1,0,0,0.98046875,0,0.004709999999988668
7,right,0,0,True,48006,1200.254,0,0,0,1,0,0,0.0,0,0.030362999999965723
7,right,1,0,True,48006,1200.254,0,0,0,1,0,0,0.0,0,0.08198099999998476
7,right,2,0,True,48006,1200.254,0,0,0,1,0,0,0.0,0,0.008602999999993699
7,right,3,0,True,48006,1200.254,0,0,0,1,0,0,0.0,0,0.00448999999997568
8,left,0,0,False,16,0.3999999999996362,0,0,0,1,0,0,1.0,0,0.18761300000005576
8,left,1,0,False,4,0.099999999999909,0,0,0,1,0,0,1.0,0,0.053773999999975786
8,left,2,0,False,8,0.1999999999998181,0,0,0,1,0,0,1.0,0,0.00527199999999084
8,left,3,0,False,12,0.2999999999997271,0,0,0,1,0,0,1.0,0,0.005495999999993728
8,right,0,0,True,48014,1200.4539999999995,0,0,0,1,0,0,0.0,0,0.026782999999909407
8,right,1,0,True,48014,1200.4539999999995,0,0,0,1,0,0,0.0,0,0.061223999999981515
8,right,2,0,True,48014,1200.4539999999995,0,0,0,1,0,0,0.0,0,0.009988999999990256
8,right,3,0,True,48014,1200.4539999999995,0,0,0,1,0,0,0.0,0,0.004334999999997535
9,left,0,0,False,8,0.1999999999998181,0,0,0,1,0,0,1.0,0,0.17263599999989765
9,left,1,0,False,12,0.3000000000001819,0,0,0,1,0,0,0.91015625,0,0.0382600000000366
9,left,2,0,False,16,0.3999999999996362,0,0,0,1,0,0,0.9765625,0,0.007666000000000395
9,left,3,0,False,4,0.0999999999994543,0,0,0,1,0,0,1.0,0,0.005888999999996258
9,right,0,0,True,48013,1200.429,0,0,0,1,0,0,0.0,0,0.03163199999994504
9,right,1,0,True,48013,1200.429,0,0,0,1,0,0,0.0,0,0.0775679999999852
9,right,2,0,True,48013,1200.429,0,0,0,1,0,0,0.0,0,0.007198000000016691
9,right,3,0,True,48013,1200.429,0,0,0,1,0,0,0.0,0,0.004351999999983036
10,left,0,0,False,8,0.1999999999989086,0,0,0,1,0,0,0.8359375,0,0.1576149999999643
10,left,1,0,False,12,0.2999999999992724,0,0,0,1,0,0,0.984375,0,0.040834999999958654
10,left,2,0,False,16,0.3999999999996362,0,0,0,1,0,0,0.9765625,0,0.008052999999989652
10,left,3,0,False,4,0.0999999999985448,0,0,0,1,0,1,1.828125,0,0.003994000000005826
10,right,0,0,True,48015,1200.4790000000012,0,0,0,1,0,0,0.0,0,0.03631800000005114
10,right,1,0,True,48015,1200.4790000000012,0,0,0,1,0,0,0.0,0,0.055755000000033306
10,right,2,0,True,48015,1200.4790000000012,0,0,0,1,0,0,0.0,0,0.008179999999981646
10,right,3,0,True,48015,1200.4790000000012,0,0,0,1,0,0,0.0,0,0.004955999999992855
