side,cam,tau_cool_s,tau_cool_min,T_floor,rmse,n_points
left,0,155.55001272326786,2.5925002120544645,38.74492332329179,2.5922346909859746,9
left,1,128.48930054228063,2.141488342371344,39.54448404965517,3.4164628733733435,9
left,2,114.32543350379886,1.905423891729981,40.64466282148396,3.855423718100828,9
left,3,105.01530459666937,1.7502550766111562,41.074610591587955,4.018812711897497,9
left,4,119.28559112236583,1.988093185372764,40.64216147934802,4.145066586553219,9
left,5,107.26922958298842,1.787820493049807,41.64438008313241,4.4019821642350685,9
left,6,106.13628417514705,1.7689380695857841,41.42641862958928,4.077199088958158,9
left,7,113.11796258794415,1.8852993764657358,40.00423824100694,3.5728761567912315,9
right,0,87.67197557278911,1.4611995928798185,34.44624948285061,2.671073474239949,9
right,1,84.92331629974113,1.4153886049956854,34.33126195669612,2.678178434200839,9
right,2,79.68182086799587,1.3280303477999311,35.33346440481822,2.9414523054455466,9
right,3,89.55366374293159,1.4925610623821932,36.352432642497384,3.60582233611296,9
right,4,93.43906591348471,1.5573177652247452,35.09101707802912,3.4204539107302527,9
right,5,79.68182086799587,1.3280303477999311,34.26821481793006,2.7816160208316627,9
right,6,76.36847524828697,1.2728079208047829,33.25209517483404,2.2554070593106195,9
right,7,78.00755838183873,1.3001259730306456,32.71695953072621,1.953322342212592,9
