scan,side,cam,t_dropout_s,T_at_dropout_C,frames_lost
C01,left,3,1041.6,116.3,6334
C01,left,5,592.3,115.2,24307
C02,left,3,596.2,116.3,24151
C02,left,5,284.4,115.0,36625
C03,left,3,720.8,116.3,19169
C03,left,5,391.3,115.2,32349
C04,left,3,824.7,116.3,15013
C04,left,5,466.0,115.2,29361
C05,left,3,898.4,116.3,12065
C05,left,5,518.4,115.1,27265
C06,left,3,936.8,116.3,10529
C06,left,5,549.1,115.2,26037
C07,left,3,940.6,116.3,10375
C07,left,5,568.0,115.0,25279
C08,left,3,353.3,116.2,33869
C08,left,4,725.8,114.4,18968
C08,left,5,160.2,115.0,41593
C09,left,3,486.4,116.2,28545
C09,left,4,892.6,114.4,12296
C09,left,5,243.2,115.1,38271
C10,left,3,618.5,116.3,23261
C10,left,4,1132.4,114.4,2705
C10,left,5,337.2,115.0,34513
