t_s,side,imu_temp_c,power_w
10,right,51.81,21.0
20,right,49.71,21.1
30,right,47.74,20.9
40,right,46.02,21.0
50,right,44.39,20.8
60,right,43.24,21.2
70,right,41.99,21.1
80,right,40.74,21.0
90,right,39.98,20.7
100,right,39.02,20.9
110,right,38.4,21.3
120,right,37.87,20.4
131,right,36.86,21.4
141,right,36.57,20.8
151,right,36.0,21.4
161,right,35.81,21.3
171,right,34.99,20.9
181,right,34.9,20.8
191,right,34.56,21.0
201,right,34.08,21.1
211,right,33.94,20.9
221,right,33.65,21.1
231,right,33.32,20.7
241,right,33.22,21.0
251,right,33.12,20.6
261,right,32.65,20.9
271,right,32.69,20.9
281,right,32.45,20.9
291,right,32.26,21.1
301,right,32.31,21.5
311,right,32.17,20.7
322,right,31.97,20.6
332,right,31.97,21.0
342,right,31.45,21.3
352,right,31.64,21.3
362,right,31.54,21.0
372,right,31.45,20.5
382,right,31.4,21.1
392,right,31.3,20.9
402,right,31.21,
414,right,31.26,21.0
424,right,31.11,21.1
434,right,30.92,21.2
444,right,30.73,20.2
454,right,30.68,20.9
464,right,30.68,20.8
474,right,30.68,20.5
484,right,30.54,21.1
494,right,30.68,21.1
504,right,30.54,20.9
515,right,30.39,21.0
525,right,30.34,20.7
535,right,30.54,21.1
545,right,30.2,21.0
555,right,30.2,21.1
565,right,30.2,20.9
575,right,30.01,20.8
585,right,30.06,21.1
595,right,30.01,20.7
605,right,30.15,21.0
615,right,30.01,20.6
625,right,29.87,21.0
635,right,29.96,21.1
645,right,29.87,21.0
655,right,29.67,20.5
665,right,29.87,21.0
675,right,29.72,21.1
685,right,29.82,20.7
695,right,29.87,21.3
705,right,29.48,20.8
715,right,29.53,21.0
725,right,29.53,20.6
736,right,29.53,20.9
746,right,29.53,20.3
756,right,29.53,20.6
766,right,29.43,20.4
776,right,29.53,20.9
786,right,29.34,21.0
796,right,29.43,20.2
806,right,29.15,20.9
816,right,29.43,21.0
826,right,29.43,21.1
836,right,29.1,21.5
846,right,29.19,21.0
856,right,29.43,21.2
866,right,29.48,21.1
876,right,29.1,20.6
886,right,29.19,20.6
896,right,29.15,20.5
906,right,29.15,21.0
916,right,29.15,20.8
927,right,29.1,21.0
937,right,29.15,21.0
947,right,29.1,21.0
957,right,29.15,21.1
967,right,29.15,21.2
977,right,29.1,21.1
987,right,29.15,20.9
997,right,29.1,21.2
1007,right,29.19,20.9
1017,right,29.15,21.1
1027,right,29.0,20.6
1037,right,28.91,21.1
1047,right,29.15,21.1
1057,right,28.91,21.3
1067,right,28.91,21.0
1077,right,28.67,20.4
1087,right,28.91,20.7
1097,right,29.1,21.0
1107,right,29.15,21.1
1118,right,29.0,20.7
1128,right,28.91,21.1
1138,right,28.81,20.8
1148,right,28.96,21.0
1158,right,29.1,21.1
1168,right,28.96,20.3
1178,right,28.67,21.0
1188,right,28.81,21.0
1198,right,28.76,21.1
1208,right,28.76,21.1
1218,right,28.81,21.0
1228,right,28.67,20.6
1238,right,28.67,21.0
1248,right,28.62,20.8
1258,right,28.67,20.1
1268,right,28.81,20.7
1278,right,28.91,20.9
1288,right,28.62,21.3
1299,right,28.81,21.1
1309,right,28.96,20.9
1319,right,28.76,20.8
1329,right,28.96,20.7
1339,right,28.76,20.6
1349,right,28.67,20.3
1359,right,28.81,20.8
1369,right,28.91,21.0
1379,right,28.76,20.5
1389,right,28.48,20.3
1399,right,28.81,20.8
1409,right,28.67,21.1
1419,right,28.62,21.0
1429,right,28.48,21.1
1440,right,28.43,20.9
1450,right,28.91,21.1
1460,right,28.62,21.1
1470,right,28.91,20.2
1480,right,28.62,21.0
1490,right,28.67,20.8
1500,right,28.76,20.9
1510,right,28.43,21.0
1520,right,28.62,20.9
1530,right,28.62,21.2
1540,right,28.62,20.8
1550,right,28.91,21.1
1560,right,28.57,20.8
1570,right,28.57,21.0
1580,right,28.43,20.7
1590,right,28.62,21.0
1600,right,28.38,20.2
1610,right,28.76,20.9
1620,right,28.43,20.8
1630,right,28.57,21.0
1641,right,28.38,21.0
1651,right,28.43,20.9
1661,right,28.76,21.2
1671,right,28.48,20.9
1681,right,28.48,20.9
1691,right,28.57,20.9
1701,right,28.62,20.4
1711,right,28.48,20.7
1721,right,28.48,20.9
1731,right,28.38,21.1
1740,right,28.48,21.0
