t_s,side,cam,frames,silent_s,temp_c,temp_max_c
5.0,right,0,185,0.0,36.10499954223633,36.10499954223633
5.0,right,1,185,0.0,38.00899887084961,38.00899887084961
5.0,right,2,185,0.0,38.14899826049805,38.14899826049805
5.0,right,3,185,0.0,39.0260009765625,39.0260009765625
5.0,right,4,185,0.0,37.1870002746582,37.1870002746582
5.0,right,5,185,0.0,37.09199905395508,37.09199905395508
5.0,right,6,185,0.0,37.237998962402344,37.237998962402344
5.0,right,7,185,0.0,37.09600067138672,37.09600067138672
10.1,right,0,387,0.0,45.08599853515625,45.08599853515625
10.1,right,1,387,0.0,47.01100158691406,47.01100158691406
10.1,right,2,386,0.0,47.12300109863281,47.12300109863281
10.1,right,3,386,0.0,47.12699890136719,47.12699890136719
10.1,right,4,386,0.0,47.1870002746582,47.1870002746582
10.1,right,5,386,0.0,46.132999420166016,46.132999420166016
10.1,right,6,386,0.0,47.02000045776367,47.02000045776367
10.1,right,7,386,0.0,46.047000885009766,46.047000885009766
15.1,right,0,589,0.0,52.0369987487793,52.0369987487793
15.1,right,1,589,0.0,54.15599822998047,54.15599822998047
15.1,right,2,589,0.0,54.165000915527344,54.165000915527344
15.1,right,3,589,0.0,54.01900100708008,54.01900100708008
15.1,right,4,589,0.0,54.13999938964844,54.13999938964844
15.1,right,5,589,0.0,54.180999755859375,54.180999755859375
15.1,right,6,588,0.0,55.11899948120117,55.11899948120117
15.1,right,7,588,0.0,54.11800003051758,54.11800003051758
20.1,right,0,790,0.0,59.007999420166016,59.007999420166016
20.1,right,1,790,0.0,61.24399948120117,61.24399948120117
20.1,right,2,790,0.0,60.23099899291992,60.23099899291992
20.1,right,3,790,0.0,59.152000427246094,59.152000427246094
20.1,right,4,790,0.0,60.077999114990234,60.077999114990234
20.1,right,5,790,0.0,60.22100067138672,60.22100067138672
20.1,right,6,790,0.0,61.150001525878906,61.150001525878906
20.1,right,7,790,0.0,60.040000915527344,60.040000915527344
25.2,right,0,993,0.0,63.20399856567383,63.20399856567383
25.2,right,1,993,0.0,67.04499816894531,67.04499816894531
25.2,right,2,993,0.0,66.16200256347656,66.16200256347656
25.2,right,3,993,0.0,64.16899871826172,64.16899871826172
25.2,right,4,992,0.0,65.17500305175781,65.17500305175781
25.2,right,5,992,0.0,65.2490005493164,65.2490005493164
25.2,right,6,992,0.0,66.16699981689453,66.16699981689453
25.2,right,7,992,0.0,64.20099639892578,64.20099639892578
30.3,right,0,1195,0.0,67.16799926757812,67.16799926757812
30.3,right,1,1195,0.0,71.18299865722656,71.18299865722656
30.3,right,2,1195,0.0,71.0979995727539,71.0979995727539
30.3,right,3,1195,0.0,68.11299896240234,68.11299896240234
30.3,right,4,1195,0.0,69.17900085449219,69.17900085449219
30.3,right,5,1195,0.0,71.03900146484375,71.03900146484375
30.3,right,6,1195,0.0,72.00499725341797,72.00499725341797
30.3,right,7,1195,0.0,68.24600219726562,68.24600219726562
35.3,right,0,1395,0.0,71.18900299072266,71.18900299072266
35.3,right,1,1395,0.0,75.16699981689453,75.16699981689453
35.3,right,2,1395,0.0,75.0009994506836,75.0009994506836
35.3,right,3,1395,0.0,71.13800048828125,71.13800048828125
35.3,right,4,1395,0.0,72.20600128173828,72.20600128173828
35.3,right,5,1395,0.0,74.19400024414062,74.19400024414062
35.3,right,6,1395,0.0,75.12699890136719,75.12699890136719
35.3,right,7,1395,0.0,72.19400024414062,72.19400024414062
40.3,right,0,1598,0.0,74.177001953125,74.177001953125
40.3,right,1,1598,0.0,80.01100158691406,80.01100158691406
40.3,right,2,1598,0.0,78.23699951171875,78.23699951171875
40.3,right,3,1598,0.0,74.16400146484375,74.16400146484375
40.3,right,4,1597,0.0,75.19400024414062,75.19400024414062
40.3,right,5,1597,0.0,78.09300231933594,78.09300231933594
40.3,right,6,1597,0.0,79.03099822998047,79.03099822998047
40.3,right,7,1597,0.0,75.2040023803711,75.2040023803711
45.4,right,0,1800,0.0,77.08699798583984,77.08699798583984
45.4,right,1,1800,0.0,83.05599975585938,83.05599975585938
45.4,right,2,1800,0.0,81.24099731445312,81.24099731445312
45.4,right,3,1800,0.0,77.03500366210938,77.03500366210938
45.4,right,4,1800,0.0,78.24099731445312,78.24099731445312
45.4,right,5,1800,0.0,82.01100158691406,82.01100158691406
45.4,right,6,1800,0.0,82.1729965209961,82.1729965209961
45.4,right,7,1800,0.0,78.13600158691406,78.13600158691406
50.5,right,0,2003,0.0,80.03500366210938,80.03500366210938
50.5,right,1,2003,0.0,86.14099884033203,86.14099884033203
50.5,right,2,2003,0.0,84.20700073242188,84.20700073242188
50.5,right,3,2003,0.0,79.08399963378906,79.08399963378906
50.5,right,4,2002,0.0,81.0739974975586,81.0739974975586
50.5,right,5,2002,0.0,84.2490005493164,84.2490005493164
50.5,right,6,2002,0.0,85.15899658203125,85.15899658203125
50.5,right,7,2002,0.0,81.10600280761719,81.10600280761719
55.5,right,0,2204,0.0,82.10399627685547,82.10399627685547
55.5,right,1,2204,0.0,89.14800262451172,89.14800262451172
55.5,right,2,2204,0.0,87.1719970703125,87.1719970703125
55.5,right,3,2204,0.0,81.07499694824219,81.07499694824219
55.5,right,4,2204,0.0,83.18299865722656,83.18299865722656
55.5,right,5,2204,0.0,87.21099853515625,87.21099853515625
55.5,right,6,2203,0.0,88.16500091552734,88.16500091552734
55.5,right,7,2203,0.0,83.1969985961914,83.1969985961914
60.5,right,0,2405,0.0,84.03800201416016,84.03800201416016
60.5,right,1,2405,0.0,92.01899719238281,92.01899719238281
